cdatetime,address,district,beat,crimedescr,ucr_ncic_code
3756,3362,3,10,292,7000
3757,67,4,13,1,2404
3758,686,2,6,2,2404
3758,105,6,17,67,5401
3758,2902,6,19,158,2305
3758,858,2,6,187,2604
3758,2455,2,4,165,2605
3758,3767,6,19,187,2604
3758,3042,6,18,264,7000
3759,5179,1,3,292,7000
3760,1820,1,1,144,2204
3761,4813,4,11,221,7399
3762,5402,5,14,292,7000
3763,763,3,7,172,2303
3764,3149,5,14,235,7000
3764,4929,3,9,293,7000
3765,1350,3,8,1,2404
3765,1585,2,5,1,2404
3766,2845,3,9,293,7000
3767,1107,3,8,293,7000
3606,1974,4,13,171,2308
3607,4394,3,10,293,7000
3608,4616,5,15,292,7000
3609,2241,2,5,136,1602
3609,1451,2,6,293,7000
3610,2117,6,17,298,5400
3611,5316,3,9,293,7000
3612,4327,3,9,192,2999
3612,3115,2,4,2,2404
3612,3269,2,4,2,2404
3612,3756,3,7,156,2399
3613,5163,3,7,219,7399
3614,1113,3,8,293,7000
3615,3508,4,13,144,2204
3616,1646,5,14,194,2999
3617,2425,2,4,292,7000
3618,4848,5,15,297,5400
3619,14,2,4,184,7000
3620,990,1,2,2,2404
3620,1712,2,6,144,2204
3620,1644,1,2,150,2506
3620,4463,3,10,292,7000
3620,3252,5,16,150,2506
3620,3880,5,14,245,2503
3621,1006,4,11,297,5400
3622,1206,3,8,298,5400
3623,250,2,5,144,2204
3623,929,3,7,293,7000
3624,1338,3,8,2,2404
3624,1736,1,2,144,2204
3625,1014,3,8,292,7000
3626,2229,2,5,248,7000
3627,4653,5,16,292,7000
3628,548,2,5,268,7000
3628,5196,3,7,145,2299
3628,2226,6,17,255,7000
3628,2505,5,16,176,2399
3629,2497,3,10,292,7000
3630,2713,6,18,114,3699
3630,2149,6,17,171,2308
3631,1074,4,11,144,2204
3632,669,3,7,297,5400
3633,4808,3,9,297,5400
3634,4328,5,16,293,7000
3635,2417,2,4,184,7000
3636,1918,3,9,297,5400
3637,1171,2,6,144,2204
3637,2792,1,1,88,1313
3637,2159,5,14,172,2303
3638,4765,2,4,1,2404
3639,748,3,10,276,7000
3640,3737,4,13,144,2204
3640,446,5,15,144,2204
3641,3068,4,12,248,7000
3642,2233,2,4,267,7000
3642,4900,1,1,272,7000
3643,450,4,13,293,7000
3644,1540,4,11,114,3699
3644,1665,4,12,267,7000
3644,2111,1,2,187,2604
3644,5069,5,16,228,7000
3644,5159,1,1,100,1315
3644,1728,1,3,248,7000
3644,843,1,1,232,7000
3645,4969,3,10,293,7000
3646,5137,4,11,178,2803
3647,170,3,10,160,2303
3648,3343,6,18,144,2204
3649,3793,3,10,156,2399
3650,2117,6,17,12,3562
3651,2115,1,2,267,7000
3651,4882,4,12,145,2299
3651,2445,2,4,267,7000
3652,830,3,10,293,7000
3653,2004,2,5,155,2309
3654,740,5,14,278,7000
3655,299,3,7,67,5401
3656,922,3,10,266,7000
3657,1196,5,14,184,7000
3658,4787,3,19,297,5400
3659,215,3,7,266,7000
3660,2634,1,3,293,7000
3661,3780,2,4,12,3562
3662,4433,3,10,291,7000
3663,4005,5,16,144,2204
3663,650,2,6,80,5404
3664,3330,4,13,21,3572
3665,5343,2,6,1,2404
3666,1110,5,14,67,5401
3667,3860,5,15,145,2299
3667,537,2,6,143,2203
3667,4907,4,13,172,2303
3667,4609,6,17,272,7000
3668,2194,5,15,184,7000
3669,2194,5,15,184,7000
3670,2926,5,15,185,2604
3671,947,3,7,293,7000
3672,421,2,6,2,2404
3672,421,2,6,2,2404
3672,2200,5,15,145,2299
3673,3161,6,19,71,1299
3673,652,2,6,172,2303
3674,2048,1,2,172,2303
3675,667,3,10,293,7000
3676,4743,5,15,136,1602
3677,875,3,7,145,2299
3677,875,3,7,145,2299
3677,4373,5,16,152,2308
3677,3758,4,12,243,7000
3677,1041,3,9,172,2303
3678,712,2,6,1,2404
3679,3268,6,18,144,2204
3680,1970,3,9,194,2999
3681,2982,5,15,291,7000
3681,1703,1,3,145,2299
3682,4023,3,9,69,1299
3683,686,2,6,71,1299
3683,5372,6,18,2,2404
3684,473,6,17,270,7000
3685,3387,5,16,144,2204
3686,2655,2,4,143,2203
3687,2233,2,4,267,7000
3687,5017,3,10,12,3562
3688,4173,5,16,93,1315
3689,5028,3,10,184,7000
3690,2613,6,18,178,2803
3690,3351,3,9,2,2404
3690,893,2,6,267,7000
3690,2194,5,15,152,2308
3690,3988,5,14,151,2501
3691,487,6,19,293,7000
3692,842,2,6,9,3532
3693,85,2,6,287,7000
3694,1841,3,8,297,5400
3695,2863,1,1,144,2204
3696,1199,2,6,1,2404
3697,4436,1,3,266,7000
3699,1432,2,5,2,2404
3700,3039,6,17,281,7000
3701,3295,5,16,144,2204
3702,1255,1,2,2,2404
3703,714,3,7,235,7000
3704,2734,5,15,152,2308
3705,4426,3,8,235,7000
3706,979,3,8,161,2399
3706,1088,4,12,2,2404
3706,1433,4,11,145,2299
3706,1314,3,8,145,2299
3707,2926,5,15,303,7000
3708,657,2,6,2,2404
3709,4742,2,6,1,2404
3709,2112,1,1,144,2204
3710,4782,5,14,293,7000
3711,1660,4,11,292,7000
3712,1501,2,6,1,2404
3713,1376,4,12,2,2404
3714,4166,2,4,2,2404
3715,2415,6,18,184,7000
3716,2838,5,15,94,1315
3716,5044,6,18,293,7000
3717,860,2,6,184,7000
3718,668,3,8,292,7000
3719,2832,6,18,101,1315
3720,3203,4,12,235,7000
3720,4482,6,17,158,2305
3720,2568,4,11,151,2501
3720,2724,6,18,158,2305
3721,2005,2,5,116,7000
3722,3934,5,15,237,7000
3723,3793,3,10,264,7000
4122,2734,5,15,2,2404
4122,454,1,3,145,2299
4122,3426,5,16,194,2999
4122,569,2,6,145,2299
4122,3494,4,13,192,2999
4122,680,1,1,192,2999
4123,6,4,13,145,2299
4123,1702,1,3,289,7000
4123,1327,1,3,161,2399
4123,1550,6,17,194,2999
4123,3452,3,7,145,2299
4123,695,3,7,275,7000
4123,3497,2,4,5,2404
4123,1402,6,18,144,2204
4124,5219,6,18,293,7000
4125,5283,2,4,266,7000
4126,1166,4,11,231,7000
4127,4556,2,4,2,2404
4128,5245,3,9,184,7000
4129,4984,3,8,293,7000
4237,3980,6,19,144,2204
4237,2009,1,2,192,2999
4238,2350,2,4,145,2299
4239,25,4,13,136,1602
4240,1030,3,8,192,2999
4266,5485,6,18,80,5404
4267,5291,4,13,263,7000
4268,1129,3,7,143,2203
4269,272,3,9,145,2299
4270,1873,3,9,94,1315
4271,4502,5,14,19,3599
4272,3907,2,5,133,5212
4272,2509,3,9,194,2999
4273,2519,3,10,69,1299
4274,1878,5,14,300,7000
4274,853,5,14,145,2299
4275,396,3,9,76,1212
4276,5075,2,4,2,2404
4277,4678,5,16,298,5400
4278,2700,6,19,133,5212
4279,831,3,8,72,1210
4280,4839,5,0,297,5400
4281,2007,2,5,144,2204
4281,1833,4,12,292,7000
4282,3102,4,12,292,7000
4283,2865,6,18,267,7000
4284,1741,4,12,235,7000
4285,3583,2,5,144,2204
4286,2114,1,1,144,2204
4286,1079,4,12,144,2204
4286,757,1,1,144,2204
4287,5180,1,3,298,5400
4288,4824,4,12,293,7000
4289,4975,4,12,1,2404
4290,4822,4,12,292,7000
4290,2473,4,12,292,7000
4291,2360,2,4,194,2999
4291,4202,4,13,165,2605
4291,744,2,6,172,2303
4291,2261,1,1,155,2309
4291,787,2,6,143,2203
4292,2977,6,18,144,2204
4293,1610,1,1,169,2305
4294,5174,1,3,292,7000
4295,2450,6,17,144,2204
4295,5401,5,16,297,5400
4296,4828,4,12,292,7000
4297,4845,4,12,293,7000
4298,281,6,17,152,2308
4298,4360,5,16,144,2204
4298,1976,3,9,194,2999
4299,4263,6,19,1,2404
4300,1684,4,12,292,7000
4301,1595,4,12,292,7000
4302,4845,4,12,292,7000
4303,576,1,2,160,2303
4130,2935,2,4,1,2404
4130,436,1,3,152,2308
4131,4271,5,15,187,2604
4132,4824,4,12,292,7000
4133,2554,5,15,144,2204
4134,3016,5,16,1,2404
4135,4470,3,7,297,5400
4136,3102,4,12,292,7000
4137,3166,5,16,144,2204
4138,878,2,6,1,2404
4139,3068,4,12,184,7000
4140,2619,2,4,71,1299
4141,4812,4,11,292,7000
4142,5164,1,1,292,7000
4143,2268,6,17,1,2404
4144,4470,3,7,184,7000
4145,886,2,6,293,7000
4146,4075,5,16,71,1299
4147,5203,3,9,293,7000
4148,2538,5,15,144,2204
4148,2542,5,15,214,5307
4148,35,5,16,166,2605
4148,1633,3,8,255,7000
4149,4698,2,5,78,5499
4150,3456,6,19,1,2404
4151,5337,2,5,297,5400
4152,2233,2,4,267,7000
4152,3101,4,12,292,7000
4153,2175,4,12,292,7000
4154,4909,2,4,298,5400
4154,2289,1,2,293,7000
4155,1937,4,12,292,7000
4156,4876,6,18,10,3532
4157,415,3,7,144,2204
4158,4845,4,12,292,7000
4159,1842,3,8,272,7000
4160,447,2,6,1,2404
4161,471,4,12,292,7000
4162,1672,4,12,267,7000
4162,3574,3,10,216,2399
4162,3338,5,16,267,7000
4162,4127,5,15,100,1315
4162,928,3,8,293,7000
4163,4822,4,12,292,7000
4164,2361,2,4,19,3599
4165,2166,2,5,216,2399
4166,4859,4,12,298,5400
4166,4666,1,1,292,7000
4167,3473,4,13,117,5011
4168,1245,6,18,93,1315
4168,313,2,5,144,2204
4168,4450,4,13,145,2299
4168,705,5,14,187,2604
4169,3356,4,11,293,7000
4170,3601,3,10,293,7000
4171,2121,6,17,292,7000
4172,4701,2,6,297,5400
4173,149,3,8,200,5707
4174,4137,5,15,187,2604
4175,1595,4,12,292,7000
4176,2229,2,5,273,7000
4176,3082,6,19,243,7000
4177,1148,1,1,86,1313
4178,4025,5,16,235,7000
4179,3441,6,19,144,2204
4179,2233,2,4,267,7000
4180,1174,5,14,88,1313
4181,579,1,2,264,7000
4182,4845,4,12,293,7000
4183,3397,6,18,111,5499
4184,5356,6,17,1,2404
4184,4390,6,18,297,5400
4185,5134,2,5,1,2404
4186,1923,6,17,292,7000
4187,4464,3,7,178,2803
4188,4796,5,15,292,7000
4189,1261,4,12,293,7000
4190,3885,5,14,266,7000
4191,1393,4,12,19,3599
4192,4913,2,4,298,5400
4193,4178,3,10,209,5311
4194,2774,5,15,209,5311
4194,312,2,6,230,7000
4194,2052,4,12,292,7000
4194,959,3,8,152,2308
4195,1720,3,8,291,7000
4196,3976,6,19,136,1602
4196,4585,6,17,293,7000
4197,4841,5,15,292,7000
4198,1312,4,11,292,7000
4199,2571,4,12,292,7000
4200,2478,1,1,100,1315
4201,63,3,9,216,2399
4201,2592,3,10,160,2303
4201,5016,3,10,12,3562
4202,4845,4,12,292,7000
4203,5387,3,8,293,7000
4204,2233,2,4,267,7000
4204,5018,3,10,252,7000
4205,2400,2,4,194,2999
4206,524,2,6,151,2501
4207,63,3,9,160,2303
4207,1132,1,2,270,7000
4207,191,3,10,172,2303
4207,327,1,2,37,5202
4207,3738,6,19,293,7000
4207,63,3,9,156,2399
4208,4845,4,12,292,7000
4209,2140,6,17,293,7000
4209,4817,4,12,292,7000
4210,3929,5,14,293,7000
4211,4845,4,12,293,7000
4212,2130,6,17,293,7000
4213,2140,6,17,293,7000
4214,1684,4,12,292,7000
4215,2048,1,2,35,5212
4216,2140,6,17,293,7000
4217,1721,1,2,88,1313
4217,82,4,13,277,7000
4218,3655,5,16,2,2404
4218,4534,2,0,67,5401
4219,603,2,6,171,2308
4220,63,3,9,160,2303
4220,1406,1,3,172,2303
4220,1009,3,8,2,2404
4220,3097,1,1,94,1315
4220,2867,4,12,194,2999
4220,4847,5,15,263,7000
4221,2596,3,7,27,3599
4222,4725,3,7,6,3532
4223,3,2,4,184,7000
4223,3720,6,19,293,7000
4224,4815,4,12,292,7000
