country,year,sex,age,suicides_no,population
0,2007,0,4,9.0,221120.0
0,2007,0,5,3.0,57404.0
0,2007,1,0,13.0,288349.0
0,2007,1,1,9.0,172494.0
0,2007,1,2,29.0,378626.0
0,2007,1,3,4.0,272497.0
0,2007,1,4,14.0,224160.0
0,2007,1,5,8.0,42366.0
0,2008,0,0,20.0,276073.0
0,2008,0,1,9.0,182663.0
0,2008,0,2,19.0,393832.0
0,2008,0,3,1.0,246288.0
0,2008,0,4,7.0,226448.0
0,2008,0,5,5.0,59369.0
0,2008,1,0,11.0,286702.0
0,2008,1,1,21.0,172855.0
0,2008,1,2,37.0,377119.0
0,2008,1,3,7.0,262464.0
0,2008,1,4,21.0,228672.0
0,2008,1,5,2.0,44574.0
0,2009,0,0,0.0,270003.0
0,2009,0,1,0.0,182712.0
0,2009,0,2,0.0,394286.0
0,2009,0,3,0.0,236174.0
0,2009,0,4,0.0,233302.0
0,2009,0,5,0.0,61582.0
0,2009,1,0,0.0,283448.0
0,2009,1,1,0.0,174955.0
0,2009,1,2,0.0,374365.0
0,2009,1,3,0.0,253007.0
0,2009,1,4,0.0,234570.0
0,2009,1,5,0.0,47331.0
0,2010,0,0,6.0,263581.0
0,2010,0,1,6.0,183579.0
0,2010,0,2,12.0,394593.0
0,2010,0,3,2.0,223969.0
0,2010,0,4,7.0,241491.0
0,2010,0,5,2.0,64415.0
0,2010,1,0,10.0,279508.0
0,2010,1,1,9.0,179720.0
0,2010,1,2,20.0,371611.0
0,2010,1,3,0.0,240939.0
0,2010,1,4,20.0,241852.0
0,2010,1,5,2.0,50767.0
0,2011,0,0,,258006.0
0,2011,0,1,,184556.0
0,2011,0,2,,394638.0
0,2011,0,3,,210822.0
0,2011,0,4,,250641.0
0,2011,0,5,,67649.0
0,2011,1,0,,275385.0
0,2011,1,1,,185898.0
0,2011,1,2,,368950.0
0,2011,1,3,,228071.0
0,2011,1,4,,250362.0
0,2011,1,5,,54228.0
0,2012,0,0,,249730.0
0,2012,0,1,,187346.0
0,2012,0,2,,395819.0
0,2012,0,3,,198385.0
0,2012,0,4,,259751.0
0,2012,0,5,,69811.0
0,2012,1,0,,268954.0
0,2012,1,1,,194250.0
0,2012,1,2,,369536.0
0,2012,1,3,,215894.0
0,2012,1,4,,259056.0
0,2012,1,5,,56701.0
0,2013,0,0,,237550.0
0,2013,0,1,,191853.0
0,2013,0,2,,397517.0
0,2013,0,3,,187558.0
0,2013,0,4,,269026.0
0,2013,0,5,,71601.0
0,2013,1,0,,259826.0
0,2013,1,1,,204491.0
0,2013,1,2,,372005.0
0,2013,1,3,,204865.0
0,2013,1,4,,267905.0
0,2013,1,5,,59113.0
0,2014,0,0,,224883.0
0,2014,0,1,,195460.0
0,2014,0,2,,399197.0
0,2014,0,3,,177838.0
0,2014,0,4,,278887.0
0,2014,0,5,,73945.0
0,2014,1,0,,250345.0
0,2014,1,1,,213828.0
0,2014,1,2,,373493.0
0,2014,1,3,,194554.0
0,2014,1,4,,277604.0
0,2014,1,5,,61678.0
0,2015,0,0,,212324.0
0,2015,0,1,,199024.0
0,2015,0,2,,400275.0
0,2015,0,3,,168140.0
0,2015,0,4,,289055.0
0,2015,0,5,,76861.0
0,2015,1,0,,240777.0
0,2015,1,1,,222680.0
0,2015,1,2,,374464.0
0,2015,1,3,,184114.0
0,2015,1,4,,287770.0
0,2015,1,5,,64200.0
1,1983,0,0,0.0,
1,1983,0,1,0.0,
1,1983,0,2,0.0,
1,1983,0,3,0.0,
1,1983,0,4,0.0,
1,1983,0,5,0.0,
1,1983,1,0,0.0,
1,1983,1,1,0.0,
1,1983,1,2,0.0,
1,1983,1,3,0.0,
1,1983,1,4,0.0,
1,1983,1,5,0.0,
1,1984,0,0,0.0,
1,1984,0,1,0.0,
1,1984,0,2,0.0,
1,1984,0,3,0.0,
1,1984,0,4,0.0,
1,1984,0,5,0.0,
1,1984,1,0,0.0,
1,1984,1,1,0.0,
1,1984,1,2,0.0,
1,1984,1,3,0.0,
1,1984,1,4,0.0,
1,1984,1,5,0.0,
1,1985,0,0,0.0,
1,1985,0,1,0.0,
1,1985,0,2,0.0,
1,1985,0,3,0.0,
1,1985,0,4,0.0,
1,1985,0,5,0.0,
1,1985,1,0,0.0,
1,1985,1,1,0.0,
1,1985,1,2,0.0,
1,1985,1,3,0.0,
1,1985,1,4,0.0,
1,1985,1,5,0.0,
1,1986,0,0,0.0,
1,1986,0,1,0.0,
1,1986,0,2,0.0,
1,1986,0,3,0.0,
1,1986,0,4,0.0,
1,1986,0,5,0.0,
1,1986,1,0,0.0,
1,1986,1,1,0.0,
1,1986,1,2,0.0,
1,1986,1,3,0.0,
1,1986,1,4,0.0,
1,1986,1,5,0.0,
1,1987,0,0,0.0,
1,1987,0,1,0.0,
1,1987,0,2,0.0,
1,1987,0,3,0.0,
1,1987,0,4,0.0,
1,1987,0,5,0.0,
1,1987,1,0,0.0,
1,1987,1,1,0.0,
1,1987,1,2,0.0,
1,1987,1,3,0.0,
1,1987,1,4,0.0,
1,1987,1,5,0.0,
1,1988,0,0,0.0,
1,1988,0,1,0.0,
1,1988,0,2,0.0,
1,1988,0,3,0.0,
1,1988,0,4,0.0,
1,1988,0,5,0.0,
1,1988,1,0,0.0,
1,1988,1,1,0.0,
1,1988,1,2,0.0,
1,1988,1,3,0.0,
1,1988,1,4,0.0,
1,1988,1,5,0.0,
1,1989,0,0,0.0,
1,1989,0,1,0.0,
1,1989,0,2,0.0,
1,1989,0,3,0.0,
1,1989,0,4,0.0,
1,1989,0,5,0.0,
1,1989,1,0,0.0,
1,1989,1,1,0.0,
1,1989,1,2,0.0,
1,1989,1,3,0.0,
1,1989,1,4,0.0,
1,1989,1,5,0.0,
